id;titulo;lingua_original;lancamento;popularidade;media_dos_votos;qtds_votos;tipo_de_midia;adulto
638974;Murder Mystery 2;Ingles;2023-03-26;235.901;6.8;187;Filme;False
677179;Creed III;Ingles;2023-03-01;1537.879;7.2;561;Filme;False
726759;Tetris;Ingles;2023-03-15;66.661;7.7;100;Filme;False
76600;Avatar: The Way of Water;Ingles;2022-12-14;10224.28;7.742;6335;Filme;False
849869;길복순;Koreano;2023-02-17;33.985;6.9;39;Filme;False
603692;John Wick: Chapter 4;Ingles;2023-03-22;2569.508;8.161;635;Filme;False
493529;Dungeons & Dragons: Honor Among Thieves;Ingles;2023-03-23;702.523;7.598;128;Filme;False
932430;Prom Pact;Ingles;2023-03-30;85.403;8.0;10;Filme;False
816904;Momias;Espanhol;2023-01-05;1224.45;7.008;64;Filme;False
514999;Murder Mystery;Ingles;2019-05-25;197.421;6.252;3642;Filme;False
1049638;Rye Lane;Ingles;2023-03-17;30.374;7.778;18;Filme;False
739405;Operation Fortune: Ruse de Guerre;Ingles;2023-01-04;184.229;6.721;297;Filme;False
921355;Assassin;Ingles;2023-03-31;80.805;4.8;11;Filme;False
933419;Champions;Ingles;2023-03-09;104.315;6.512;43;Filme;False
878375;On a Wing and a Prayer;Ingles;2023-04-06;53.714;8.0;4;Filme;False
